"carID","depart","departLane","departPos","departSpeed","departDelay","arrival","arrivalLane","arrivalPos","arrivalSpeed","duration","routeLength","waitingTime","rerouteNo","speedFactor","vaporized"
"car3","0.00","-E0_0","482.99","14.65","0.00","2.00","-E0_0","500.00","15.02","2.00","17.01","0.00","0","1.08",""
"car2","0.00","E7_0","213.75","13.80","0.00","7.00","E7_0","300.00","13.76","7.00","86.25","0.00","0","1.01",""
"car4","0.00","E7_0","164.20","14.21","0.00","10.00","E7_0","300.00","14.08","10.00","135.80","0.00","0","1.03",""
"car6","0.00","E4_0","187.39","14.15","0.00","22.00","E7_0","300.00","14.37","22.00","312.61","0.00","0","1.05",""
"car8","0.00","E4_0","7.90","3.71","0.00","44.00","E7_0","300.00","12.74","44.00","492.10","0.00","0","0.94",""
"car9","0.00","-E0_0","11.86","4.13","0.00","46.00","-E0_0","500.00","11.58","46.00","488.14","0.00","0","0.86",""
"car5","0.00","E12_0","287.39","2.27","0.00","56.00","E7_0","300.00","11.34","56.00","512.61","0.00","0","0.83",""
"car0","0.00","E12_0","146.59","2.66","0.00","98.00","E7_0","300.00","14.51","98.00","653.41","0.00","0","1.06",""
"car1","0.00","-E7_0","0.00","0.00","0.00","-1.00","","-1.00","-1.00","101.00","617.31","0.00","0","0.94","end"
"car7","0.00","E0_0","0.00","0.00","0.00","-1.00","","-1.00","-1.00","101.00","608.37","0.00","0","0.89","end"
